Sample,Rjct,Data File,Acq. Date-Time,Type,Level,Solution Label,Total Dil.,Vial Number,7  Li  [ No Gas ] ,7  Li  [ He ] ,9  Be  [ No Gas ] ,9  Be  [ He ] ,45  Sc  [ No Gas ] ,45  Sc  [ He ] ,51  V  [ No Gas ] ,51  V  [ He ] ,52  Cr  [ No Gas ] ,52  Cr  [ He ] ,59  Co  [ No Gas ] ,59  Co  [ He ] ,60  Ni  [ No Gas ] ,60  Ni  [ He ] ,63  Cu  [ No Gas ] ,63  Cu  [ He ] ,66  Zn  [ No Gas ] ,66  Zn  [ He ] ,71  Ga  [ No Gas ] ,71  Ga  [ He ] ,85  Rb  [ No Gas ] ,85  Rb  [ He ] ,88  Sr  [ No Gas ] ,88  Sr  [ He ] ,89  Y  [ No Gas ] ,89  Y  [ He ] ,90  Zr  [ No Gas ] ,90  Zr  [ He ] ,95  Mo  [ No Gas ] ,95  Mo  [ He ] ,107  Ag  [ No Gas ] ,107  Ag  [ He ] ,111  Cd  [ No Gas ] ,111  Cd  [ He ] ,118  Sn  [ No Gas ] ,118  Sn  [ He ] ,121  Sb  [ No Gas ] ,121  Sb  [ He ] ,133  Cs  [ No Gas ] ,133  Cs  [ He ] ,137  Ba  [ No Gas ] ,137  Ba  [ He ] ,138  Ba  [ He ] ,139  La  [ No Gas ] ,139  La  [ He ] ,140  Ce  [ No Gas ] ,140  Ce  [ He ] ,141  Pr  [ No Gas ] ,141  Pr  [ He ] ,146  Nd  [ No Gas ] ,146  Nd  [ He ] ,147  Sm  [ No Gas ] ,147  Sm  [ He ] ,153  Eu  [ No Gas ] ,153  Eu  [ He ] ,157  Gd  [ No Gas ] ,157  Gd  [ He ] ,159  Tb  [ No Gas ] ,159  Tb  [ He ] ,163  Dy  [ No Gas ] ,163  Dy  [ He ] ,165  Ho  [ No Gas ] ,165  Ho  [ He ] ,166  Er  [ No Gas ] ,166  Er  [ He ] ,169  Tm  [ No Gas ] ,169  Tm  [ He ] ,172  Yb  [ No Gas ] ,172  Yb  [ He ] ,175  Lu  [ No Gas ] ,175  Lu  [ He ] ,178  Hf  [ No Gas ] ,178  Hf  [ He ] ,181  Ta  [ No Gas ] ,181  Ta  [ He ] ,205  Tl  [ No Gas ] ,205  Tl  [ He ] ,206  [Pb]  [ He ] ,207  [Pb]  [ He ] ,208  Pb  [ No Gas ] ,208  Pb  [ He ] ,209  Bi  [ No Gas ] ,209  Bi  [ He ] ,232  Th  [ No Gas ] ,232  Th  [ He ] ,238  U  [ No Gas ] ,238  U  [ He ] ,103  Rh ( ISTD )  [ No Gas ] ,,103  Rh ( ISTD )  [ He ] ,
118  Sn  [ No Gas ] :  CPS RSD value = 5.23 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 306.50 is over the calibration range137  Ba  [ He ] :  Concentration value = 280.04 is over the calibration range138  Ba  [ He ] :  Concentration value = 283.39 is over the calibration range159  Tb  [ He ] :  CPS RSD value = 6.35 is over the allowed maximum = 5.00163  Dy  [ He ] :  CPS RSD value = 6.89 is over the allowed maximum = 5.00165  Ho  [ He ] :  CPS RSD value = 7.24 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 6.21 is over the allowed maximum = 5.00209  Bi  [ No Gas ] :  CPS RSD value = 7.46 is over the allowed maximum = 5.00,FALSE,020SMPL.d,14-05-2025 12:50,Sample,,SJS-Std,3650.7995,4103,47999.136,48888.685,1421.563,1415.496,10566.438,11256.719,110314.32,107312.988,116083.898,113693.796,11925.516,11742.81,75120.43,77352.503,32159.042,32876.189,95103.579,92750.609,15377.081,16621.832,98750.72,90454.818,249224.758,238042.916,14978.171,15208.727,59552.383,61004.426,3217.064,3125.693,253.012,164.073,428.399,303.332,1282.397,1348.354,1326.473,1328.417,4987.521,5049.163,1118963.6,1022355.235,1034599.776,19096.574,19531.724,39469.433,37909.632,4369.315,4417.932,17327.508,17187.132,3269.407,3254.973,996.478,813.913,3253.076,3173.752,460.151,420.417,2887.748,2842.317,518.834,540.502,1631.112,1587.791,213.353,203.849,1628.054,1632.691,204.607,205.086,2041.556,1978.305,744.411,861.874,496.209,483.48,19743.435,17710.955,17912.665,18110.254,233.56,223.222,9030.376,9174.321,3029.328,3036.342,,,,
118  Sn  [ He ] :  CPS RSD value = 7.46 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 157.57 is over the calibration range137  Ba  [ He ] :  Concentration value = 151.08 is over the calibration range138  Ba  [ He ] :  Concentration value = 150.77 is over the calibration range163  Dy  [ No Gas ] :  CPS RSD value = 5.19 is over the allowed maximum = 5.00,FALSE,021SMPL.d,14-05-2025 12:54,Sample,,MCS 575,4017.6616,1201,35531.956,35835.908,2165.068,2262.426,11750.58,12381.174,85952.204,85591.827,67929.882,66882.433,13738.611,13433.416,26716.421,28421.128,27113.946,27167.846,76026,75821.415,21774.667,26303.983,179601.496,172442.285,41668.27,39016.579,28423.817,30450.674,12788.347,12853.945,1384.661,1454.886,<0.000,<0.000,<0.000,<0.000,5406.262,5592.379,271.332,242.575,9901.147,9966.302,633069.121,606993.904,605734.773,70915.925,70398.345,145018.953,133082.503,15516.578,15868.904,58507.402,59371.695,11204.413,11489.411,1724.516,1658.622,10819.825,9855.295,1341.652,1249.302,7050.145,6754.916,1180.822,1172.823,3334.344,3323.314,456.439,417.83,3007.648,3005.624,424.411,389.642,423.462,424.688,1292.326,1284.482,761.457,764.844,31299.844,29738.44,29421.483,30097.303,335.257,312.921,26932.009,27248.905,4440.234,4579.674,,,,
9  Be  [ No Gas ] :  CPS RSD value = 5.27 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 169.24 is over the calibration range137  Ba  [ He ] :  Concentration value = 167.36 is over the calibration range138  Ba  [ He ] :  Concentration value = 160.45 is over the calibration range205  Tl  [ He ] :  CPS RSD value = 7.94 is over the allowed maximum = 5.00,FALSE,022SMPL.d,14-05-2025 12:58,Sample,,MCS 576,3799.5597,1202,25655.678,26439.094,2227.166,2069.457,10983.058,11467.689,81532.321,80624.025,68342.81,66271.149,13489.111,13206.405,27135.485,27493.424,27631.972,27660.464,80795.418,77218.558,19837.811,23392.531,168970.606,158969.943,54812.87,51515.934,24385.371,24833.153,10379.255,10771.768,848.093,900.687,<0.000,<0.000,3.688,<0.000,5030.045,5114.577,249.754,202.821,7796.645,7712.712,643045.317,635891.651,609633.517,60531.641,59625.459,125608.993,112024.428,13153.298,13505.023,49717.992,51649.981,9339.08,9573.96,1617.957,1595.384,8814.714,8004.729,1101.849,1028.302,5926.648,5774.179,990.664,1005.638,2667.114,2772.036,334.92,304.531,2289.023,2286.553,282.85,290.573,350.513,339.153,1264.241,1212.767,763.817,747.533,23303.364,20656.266,22162.218,22176.956,360.205,339.104,27273.35,27312.728,3963.219,3912.839,,,,
88  Sr  [ No Gas ] :  CPS RSD value = 5.31 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 195.88 is over the calibration range137  Ba  [ He ] :  Concentration value = 187.44 is over the calibration range138  Ba  [ He ] :  Concentration value = 182.34 is over the calibration range146  Nd  [ He ] :  CPS RSD value = 5.82 is over the allowed maximum = 5.00153  Eu  [ He ] :  CPS RSD value = 5.11 is over the allowed maximum = 5.00159  Tb  [ He ] :  CPS RSD value = 6.08 is over the allowed maximum = 5.00207  [Pb]  [ He ] :  CPS RSD value = 7.38 is over the allowed maximum = 5.00209  Bi  [ He ] :  CPS RSD value = 6.04 is over the allowed maximum = 5.00,FALSE,023SMPL.d,14-05-2025 13:02,Sample,,MCS 577,3936.3286,1203,47445.498,45741.854,2544.554,2361.978,13658.843,14278.94,103545.974,103740.251,90167.991,84743.644,14943.9,15058.293,35618.322,36789.508,38060.839,38062.353,107378.57,102914.401,26090.476,30676.445,219987.895,208072.653,36715.062,35027.065,35701.557,35886.973,15579.303,16015.168,1503.651,1597.93,8.141,1.522,13.377,<0.000,7186.434,7463.35,283.653,270.305,14664.975,14589.577,771054.031,737821.287,717739.76,82438.096,79898.018,170829.355,158725.681,18014.752,18520.309,68326.761,68011.436,13260.25,14310.396,2004.178,1866.464,12870.754,11868.008,1572.852,1531.335,8829.573,8469.547,1418.747,1452.034,4017.438,4057.962,502.49,495.189,3568.177,3535.937,452.385,460.06,547.378,513.499,1743.796,1754.753,1012.848,923.394,35666.344,32220.253,34333.686,33535.318,667.102,619.069,35687.738,35184.624,5944.609,5917.771,,,,
137  Ba  [ No Gas ] :  Concentration value = 219.11 is over the calibration range137  Ba  [ He ] :  Concentration value = 208.48 is over the calibration range138  Ba  [ He ] :  Concentration value = 202.54 is over the calibration range159  Tb  [ He ] :  CPS RSD value = 5.40 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 5.12 is over the allowed maximum = 5.00181  Ta  [ He ] :  CPS RSD value = 5.86 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 7.24 is over the allowed maximum = 5.00207  [Pb]  [ He ] :  CPS RSD value = 6.57 is over the allowed maximum = 5.00,FALSE,024SMPL.d,14-05-2025 13:06,Sample,,MCS 578,3643.2099,1204,44753.702,46622.95,2186.32,2354.255,12896.71,13961.773,100933.213,100758.555,85363.562,83865.462,15869.074,16162.253,33645.028,35334.807,27525.917,28663.83,90530.018,85457.262,24849.342,29654.665,214461.15,205492.322,34993.693,32663.526,23725.225,24771.458,12957.189,13641.015,1187.29,1228.363,<0.000,<0.000,<0.000,<0.000,6631.702,7078.589,314.561,293.605,12247.795,12458.191,798251.842,759545.569,737892.359,63619.703,64531.625,138078.639,130215.428,14461.42,14494.941,53432.374,56318.317,10347.897,10622.713,1663.875,1545.886,10016.089,8921.297,1168.173,1110.826,6192.798,5925.217,961.189,1009.087,2777.148,2854.912,341.703,339.176,2577.502,2516.354,320.089,316.471,454.064,441.025,1557.47,1554.584,918.315,972.337,29922.565,28567.224,28751.763,28518.535,446.201,429.538,28664.193,28311.425,4481.148,4677.594,,,,
121  Sb  [ No Gas ] :  CPS RSD value = 5.47 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 169.27 is over the calibration range137  Ba  [ He ] :  Concentration value = 157.27 is over the calibration range138  Ba  [ He ] :  Concentration value = 156.33 is over the calibration range172  Yb  [ No Gas ] :  CPS RSD value = 5.23 is over the allowed maximum = 5.00181  Ta  [ He ] :  CPS RSD value = 6.10 is over the allowed maximum = 5.00238  U  [ He ] :  CPS RSD value = 6.83 is over the allowed maximum = 5.00,FALSE,025SMPL.d,14-05-2025 13:10,Sample,,MCS 579,3577.3219,1205,34553.974,35796.931,1992.553,1750.27,10438.936,11496.596,81679.778,81042.563,65012.034,64215.854,11555.924,11700.404,24636.184,25710.735,24853.558,25390.224,65746.922,62202.537,20044.865,23893.883,177406.463,166677.3,39515.709,36322.007,20584.595,21155.003,12096.764,12577.921,829.33,836.584,<0.000,<0.000,<0.000,<0.000,5569.449,5785.515,257.279,168.71,9674.984,9781.454,605520.911,562611.402,559231.29,61809.229,60866.791,135855.453,121722.949,13837.593,14104.135,53081.351,53377.316,10182.362,10134.358,1446.888,1415.685,9576.02,8487.517,1081.138,1037.101,5636.284,5553.589,875.969,878.858,2503.649,2532.64,320.688,299.714,2304.298,2359.295,295.971,282.136,394.456,423.525,1763.407,1711.622,736.496,779.514,26961.211,26389.729,26330.458,25973.032,350.192,322.769,26638.35,26562.701,4366.869,4384.092,,,,
137  Ba  [ No Gas ] :  Concentration value = 241.00 is over the calibration range137  Ba  [ He ] :  Concentration value = 223.61 is over the calibration range138  Ba  [ He ] :  Concentration value = 216.41 is over the calibration range103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 8.71 is over the allowed maximum = 5.00,FALSE,026SMPL.d,14-05-2025 13:14,Sample,,MCS 580,3728.1405,1206,53064.389,56609.886,2811.569,2581.218,15704.33,16958.359,123788.659,119660.626,101942.39,99223.53,18991.572,18560.976,41094.092,42138.981,39438.705,39614.828,137964.829,128584.849,30019.799,34103.887,251494.099,231456.388,44522.67,40232.125,36820.003,36268.127,21331.882,21870.453,2215.967,2265.46,15.146,<0.000,43.442,<0.000,8201.874,8201.56,401.248,403.825,15146.066,14920.376,898495.028,833656.604,806796.449,75451.819,74059.565,164480.149,146089.681,16662.373,16693.339,65321.099,64078.809,12270.211,12303.699,1989.817,1893.215,11931.981,10601.186,1524.181,1374.082,8425.428,8337.617,1446.116,1420.856,4190.812,4112.214,530.053,529.5,3791.793,3769.997,488.546,479.313,774.634,674.367,2052.215,2056.9,1151.838,1067.734,40552.135,36269.754,38753.913,38230.239,628.805,581.866,29507.255,29313.519,5543.378,5315.523,,,,
59  Co  [ He ] :  CPS RSD value = 5.63 is over the allowed maximum = 5.0088  Sr  [ He ] :  CPS RSD value = 5.72 is over the allowed maximum = 5.00118  Sn  [ He ] :  CPS RSD value = 9.72 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 200.70 is over the calibration range137  Ba  [ He ] :  Concentration value = 188.82 is over the calibration range137  Ba  [ He ] :  CPS RSD value = 5.42 is over the allowed maximum = 5.00138  Ba  [ He ] :  Concentration value = 187.30 is over the calibration range139  La  [ He ] :  CPS RSD value = 5.73 is over the allowed maximum = 5.00140  Ce  [ He ] :  CPS RSD value = 6.81 is over the allowed maximum = 5.00146  Nd  [ He ] :  CPS RSD value = 7.77 is over the allowed maximum = 5.00153  Eu  [ He ] :  CPS RSD value = 8.54 is over the allowed maximum = 5.00159  Tb  [ No Gas ] :  CPS RSD value = 6.67 is over the allowed maximum = 5.00159  Tb  [ He ] :  CPS RSD value = 6.90 is over the allowed maximum = 5.00163  Dy  [ He ] :  CPS RSD value = 6.63 is over the allowed maximum = 5.00165  Ho  [ He ] :  CPS RSD value = 6.30 is over the allowed maximum = 5.00169  Tm  [ He ] :  CPS RSD value = 6.20 is over the allowed maximum = 5.00205  Tl  [ He ] :  CPS RSD value = 5.93 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 9.50 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  CPS RSD value = 25.34 is over the allowed maximum = 5.00,FALSE,027SMPL.d,14-05-2025 13:18,Sample,,MCS 581,4064.2306,1207,50081.014,50006.711,2826.577,2851.433,14028.041,15170.969,107878.873,104627.446,87337.519,82227.654,17738.091,17396.158,35150.437,35704.339,37228.689,36959.953,97838.195,92963.467,25833.512,29576.151,225225.094,210477.617,41361.304,37116.835,33367.745,34857.435,14902.59,15237.172,1418.721,1399.803,<0.000,<0.000,9.208,<0.000,7246.091,7094.25,276.776,194.832,13815.254,13950.757,815689.179,767422.45,761238.824,78242.777,75281.233,163145.431,146366.146,16854.558,16899.32,64209.335,64449.725,12436.912,12721.138,2003.57,1809.462,12014.32,10989.455,1520.493,1416.536,8311.059,8024.943,1412.891,1366.402,3852.839,4001.891,527.281,483.058,3614.655,3657.327,472.707,470.843,532.436,490.081,1791.43,1732.877,1020.213,1000.698,36497.235,33336.717,33782.662,34400.181,611.762,559.177,31820.754,30981.641,5592.562,5760.423,,,,
141  Pr  [ No Gas ] :  CPS RSD value = 5.20 is over the allowed maximum = 5.00163  Dy  [ No Gas ] :  CPS RSD value = 5.51 is over the allowed maximum = 5.00166  Er  [ He ] :  CPS RSD value = 5.39 is over the allowed maximum = 5.00,FALSE,028_QC1.d,14-05-2025 13:22,QC1,,QC MES 50 ppb,1,4102,52.167,50.604,51.107,51.195,46.147,45.217,49.451,47.758,48.793,46.702,49.212,46.51,45.512,47.642,49.121,47.636,44.005,42.615,51.495,48.878,49.338,47.994,48.56,44.352,51.491,49.841,50.656,47.912,47.368,49.67,53.784,51.117,50.779,50.196,49.42,49.449,52.921,50.227,52.028,50.07,54.583,54.96,52.453,52.253,50.792,53.04,49.977,51.894,49.673,50.22,51.048,49.491,51.178,53.141,50.938,53.838,52.396,53.157,52.07,55.626,52.234,52.441,52.31,53.58,53.503,54.422,51.646,51.017,52.443,53.901,51.372,52.345,52.406,52.948,52.016,56.372,51.792,52.94,52.903,55.269,52.627,55.249,50.179,57.978,56.284,53.868,57.244,,,,
137  Ba  [ No Gas ] :  Concentration value = 159.26 is over the calibration range137  Ba  [ He ] :  Concentration value = 149.32 is over the calibration range138  Ba  [ He ] :  Concentration value = 147.28 is over the calibration range140  Ce  [ He ] :  CPS RSD value = 5.87 is over the allowed maximum = 5.00169  Tm  [ He ] :  CPS RSD value = 6.07 is over the allowed maximum = 5.00,FALSE,029SMPL.d,14-05-2025 13:26,Sample,,MCS 582,4370.6594,1208,38824.579,37808.971,2152.877,2017.382,12401.72,12760.358,96526.757,91143.209,77280.03,74832.167,15485.735,15439.306,30872.638,32133.498,30253.839,30253.962,78410.993,71778.411,22932.519,28678.211,194977.977,180184.046,32365.216,32165.855,30723.306,31105.765,13809.286,13965.912,1356.233,1346.797,78.618,100.534,7.779,<0.000,6085.516,6365.53,304.598,280.876,11461.301,11452.152,696051.559,652639.434,643730.459,99454.906,93912.19,199773.912,188524.116,20997.624,21480.416,81448.393,80911.312,15162.033,15442.469,2153.155,1930.076,14241.016,13526.42,1712.19,1521.686,8292.691,7874.793,1335.501,1276.715,3421.605,3564.816,461.082,443.691,2963.711,2948.904,428.659,385.038,522.446,464.057,1572.939,1517.724,918.709,874.415,28758.596,27546.445,28339.894,27670.001,521.673,469.201,41470.722,40102.36,6532.255,6456.688,,,,
95  Mo  [ He ] :  CPS RSD value = 5.19 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 321.60 is over the calibration range137  Ba  [ He ] :  Concentration value = 291.15 is over the calibration range138  Ba  [ He ] :  Concentration value = 294.26 is over the calibration range165  Ho  [ He ] :  CPS RSD value = 6.73 is over the allowed maximum = 5.00181  Ta  [ He ] :  CPS RSD value = 7.79 is over the allowed maximum = 5.00206  [Pb]  [ He ] :  CPS RSD value = 5.23 is over the allowed maximum = 5.00,FALSE,030_QC2.d,14-05-2025 13:31,QC2,,SJS-Std,3650.7995,4103,51113.677,51711.895,1484.733,1685.114,10132.457,10634.29,111643.478,107400.421,117084.814,111195.683,11601.187,12010.392,73804.642,76102.841,32211.251,32830.227,96212.364,89813.094,15560.944,15948.32,100339.239,91728.883,263577.5,233455.473,15494.598,15510.044,59623.433,60500.027,3263.074,3375.845,268.795,197.597,463.855,401.013,1388.168,1331.367,1381.707,1343.557,5191.585,5208.19,1174099.865,1062947.655,1074297.517,20440.311,20153.346,39463.053,38431.706,4591.864,4454.795,17434.544,17865.463,3498.616,3415.533,1031.207,851.871,3683.9,3336.078,459.623,442.747,3085.76,2918.309,550.422,566.759,1722.965,1709.992,231.503,215.271,1729.556,1603.517,240.027,217.313,2172.118,2176.878,918.518,1052.395,547.073,529.986,20427.386,18311.967,19377.622,19348.496,264.443,229.572,9839.922,9890.035,3380.275,3303.542,,,,
137  Ba  [ No Gas ] :  Concentration value = 181.79 is over the calibration range137  Ba  [ He ] :  Concentration value = 168.09 is over the calibration range138  Ba  [ He ] :  Concentration value = 165.75 is over the calibration range,FALSE,031SMPL.d,14-05-2025 13:35,Sample,,MCS 583,3798.2532,1209,38561.122,40221.224,2848.613,3015.495,12236.416,13355.863,93454.613,91669.908,75550.485,72348.552,14716.132,14725.757,30679.068,32270.464,28699.281,29506.543,89760.072,85505.198,22666.142,26668.096,189389.092,178410.7,53471.7,48916.207,28259.983,29434.608,12684.449,13162.625,1724.474,1890.231,9.399,<0.000,28.276,<0.000,5910.688,6481.625,296.797,203.735,11429.471,11906.148,690503.079,638458.184,629571.421,62266.139,61030.966,129638.105,115836.236,13879.2,13711.037,50750.105,51325.495,10144.403,9978.814,1641.497,1567.699,9970.443,8590.272,1221.728,1117.708,6646.392,6422.46,1117.684,1057.323,3146.863,3098.809,412.666,412.226,2894.947,2727.301,386.223,364.469,449.402,438.972,1593.549,1574.964,918.054,910.787,34538.725,32057.783,32454.882,33097.211,495.944,470.328,25225.883,25565.238,4733.747,4732.649,,,,
137  Ba  [ No Gas ] :  Concentration value = 205.54 is over the calibration range137  Ba  [ He ] :  Concentration value = 190.46 is over the calibration range138  Ba  [ He ] :  Concentration value = 187.90 is over the calibration range147  Sm  [ He ] :  CPS RSD value = 6.05 is over the allowed maximum = 5.00,FALSE,032SMPL.d,14-05-2025 13:39,Sample,,MCS 584,3707.2313,1210,39336.539,39381.926,1984.109,1745.384,13588.01,14588.313,108351.026,105068.793,84332.744,79765.775,12176.224,12307.867,30310.213,31257.465,28179.403,28534.61,90552.729,86068.414,25571.124,29026.341,191368.122,179474.834,37226.859,32794.759,23713.831,24494.451,11290.666,11615.695,1497.405,1580.249,<0.000,<0.000,<0.000,<0.000,6552.611,6730.088,278.676,249.77,11978.713,12609.825,761977.879,706078.861,696606.343,71167.453,68238.26,145145.072,132082.882,15651.375,15854.557,58789.885,59643.867,11130.732,11679.44,1687.121,1596.52,10919.282,9925.073,1234.143,1188.155,6501.186,6012.2,976.504,976.613,2611.392,2627.172,315.37,317.666,2280.485,2277.824,287.395,284.273,392.46,383.164,1541.645,1479.911,880.454,861.229,29829.746,29067.264,28599.199,28799.632,408.564,363.111,29754.498,28871.198,4415.399,4347.134,,,,
52  Cr  [ No Gas ] :  CPS RSD value = 6.16 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 142.36 is over the calibration range137  Ba  [ He ] :  Concentration value = 136.29 is over the calibration range138  Ba  [ He ] :  Concentration value = 128.74 is over the calibration range,FALSE,033SMPL.d,14-05-2025 13:43,Sample,,MCS 585,3989.0039,1211,27592.099,28114.932,2147.071,1951.693,9716.995,9942.705,73740.288,71617.887,55971.617,56310.02,8160.282,8115.277,19049.714,19285.975,20347.63,20941.295,63552.327,58684.41,18251.087,22059.664,152398.966,142766.112,51855.37,47184.025,19656.66,20838.706,7635.413,7704.485,1745.402,1900.643,<0.000,<0.000,<0.000,19.66,5866.139,5831.119,191.992,144.712,8616.893,8509.131,567866.598,543675.628,513554.546,61186.511,57227.463,114887.445,108297.24,12888.734,13028.717,47473.202,48886.735,9313.526,9156.313,1295.745,1271.249,8553.894,7945.285,1013.267,931.085,5121.392,5089.814,790.81,790.188,2121.036,2189.825,261.075,241.238,1797.336,1719.54,219.429,191.37,247.851,223.627,1276.299,1208.982,632.422,647.135,49436.379,47499.06,47818.757,47725.28,281.899,237.611,24192.884,23424.349,2897.907,2955.278,,,,
137  Ba  [ No Gas ] :  Concentration value = 187.86 is over the calibration range137  Ba  [ He ] :  Concentration value = 172.06 is over the calibration range138  Ba  [ He ] :  Concentration value = 168.05 is over the calibration range157  Gd  [ He ] :  CPS RSD value = 6.48 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 6.17 is over the allowed maximum = 5.00169  Tm  [ He ] :  CPS RSD value = 5.90 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 6.27 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 5.40 is over the allowed maximum = 5.00232  Th  [ No Gas ] :  CPS RSD value = 5.29 is over the allowed maximum = 5.00,FALSE,034SMPL.d,14-05-2025 13:47,Sample,,MCS 586,3666.314,1212,41191.009,45727.007,2182.559,1726.12,13481.605,13832.712,101935.482,99912.035,83985.609,78503.057,17424.481,17383.718,35772.291,36917.366,40788.41,40829.075,171777.661,163220.446,24342.303,27195.78,200262.414,190211.671,30329.032,28939.295,26355.525,28401.042,13173.943,13092.562,1791.099,1917.152,13.676,<0.000,32.634,<0.000,6689.169,6859.44,348.057,283.115,12715.306,13138.714,688740.6,630836.27,616118.752,54508.747,54352.993,122829.94,107999.255,12235.047,12551.496,46360.704,46068.056,9499.201,9178.863,1502.599,1361.041,8771.628,8042.504,1137.235,1059.466,6395.025,6011.336,1083.365,1059.333,3067.839,3141.125,408.63,375.749,2853.148,2970.276,383.494,357.823,442.075,420.853,1564.628,1484.19,903.14,886.668,32335.042,30984.618,31577.101,31421.022,716.941,682.687,23745.339,23791.237,4500.612,4608.728,,,,
88  Sr  [ No Gas ] :  CPS RSD value = 5.94 is over the allowed maximum = 5.00137  Ba  [ No Gas ] :  Concentration value = 224.76 is over the calibration range137  Ba  [ He ] :  Concentration value = 206.84 is over the calibration range138  Ba  [ He ] :  Concentration value = 202.98 is over the calibration range165  Ho  [ He ] :  CPS RSD value = 6.07 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 5.40 is over the allowed maximum = 5.00208  Pb  [ No Gas ] :  CPS RSD value = 5.80 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 17.42 is over the allowed maximum = 5.00,FALSE,035SMPL.d,14-05-2025 13:51,Sample,,MCS 587,3825.4784,1301,45358.961,48098.067,2226.414,1589.167,14494.695,15280.675,111428.739,109649.711,94896.764,89060.905,16692.287,17404.375,34811.565,35220.569,30899.446,32158.432,105498,100499.701,26455.366,31054.112,214685.062,200208.813,34827.337,33176.636,25339.515,26087.487,15161.212,15762.641,1564.244,1607.336,<0.000,<0.000,19.811,<0.000,7099.96,6815.901,287.698,266.657,12972.221,12987.141,859818.432,791255.396,776509.801,71540.733,67767.227,155984.021,136262.233,15124.7,15643.054,57346.27,57996.031,10914.957,11189.214,1612.6,1513.538,10509.545,9575.211,1229.053,1148.002,6393.958,6107.183,1031.052,995.179,2728.38,2874.012,352.038,330.138,2550.654,2676.487,332.023,317.136,488.969,517.012,1753.41,1630.252,949.439,974.763,31945.554,30496.659,31201.925,30594.118,442.619,430.227,30893.238,30090.783,5121.389,5248.435,,,,
137  Ba  [ No Gas ] :  Concentration value = 197.90 is over the calibration range137  Ba  [ He ] :  Concentration value = 179.39 is over the calibration range138  Ba  [ He ] :  Concentration value = 185.71 is over the calibration range140  Ce  [ He ] :  CPS RSD value = 5.78 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 6.77 is over the allowed maximum = 5.00172  Yb  [ He ] :  CPS RSD value = 5.05 is over the allowed maximum = 5.00181  Ta  [ No Gas ] :  CPS RSD value = 6.17 is over the allowed maximum = 5.00,FALSE,036SMPL.d,14-05-2025 13:55,Sample,,MCS 588,3774.9727,1302,40745.074,41582.245,2384.583,2613.643,13033.506,13314.967,96361.667,94449.435,79169.351,75248.465,14215.323,14654.144,30697.705,30377.262,27477.362,28396.496,83303.355,78990.487,22983.302,28110.76,198589.895,181231.129,42393.157,39121.509,28051.364,28167.791,13563.282,14214.798,972.195,945.246,<0.000,<0.000,<0.000,<0.000,6068.25,6339.105,296.31,262.16,10912.766,11723.807,747080.667,677185.639,701032.368,79719.389,77912.087,169185.568,155297.425,17339.403,17937.447,66461.401,67223.551,12754.404,13135.518,1891.314,1747.941,11898.83,10860.447,1345.735,1290.88,7290.128,6913.977,1089.106,1107.969,3212.265,3287.432,385.324,399.514,2861.421,2950.246,359.516,358.88,436.369,423.866,1512.782,1478.55,876.419,865.463,29705.755,28334.295,28517.138,28358.981,416.121,374.262,32632.193,31964.997,5138.475,5191.472,,,,
